product_name,variant_name,slug,sku,price,description,image_urls,category
UGO,UGO C1,ugo-c1,RT1021 C1,42.00,©rietieyewear | UGO C1 – Iconic oval square design with wearable versatility. Blue light blocking for daily use. TR-90 frame.,https://ecimg.cafe24img.com/pg1512b58569568085/ratigre2022/web/product/big/20250304/f51b2c3896bd544252a0a5a2f1219711.jpg,SHOP
OTTAVIO,OTTAVIO C2,ottavio-c2,RT1024 C2,42.00,©rietieyewear | OTTAVIO C2 combines elegant semi-cat eye design with blue light protection. Enjoy the comfort and style of modern eyewear.,https://ecimg.cafe24img.com/pg1512b58569568085/ratigre2022/web/product/big/20250311/f7013e4bebb55f026757ba30a904bbc3.jpg,SHOP
TITO,TITO C1,tito-c1,RT3039 C1,58.00,"©rietieyewear | Discover TITO C1: Unique, lightweight glasses with blue light blocking lenses and high-elasticity, durable frames.",https://ecimg.cafe24img.com/pg1512b58569568085/ratigre2022/web/product/big/20250402/7b074d65edde95eba3231d07dd9141ac.jpg,SHOP
ENRICO,ENRICO C1,enrico-c1,RT1017 C1,42.00,"©rietieyewear | ENRICO C1 combines classic design with comfort. Block harmful blue light with stylish glasses suited for any outfit. MD's pick, a popular item.",https://ecimg.cafe24img.com/pg1512b58569568085/ratigre2022/web/product/big/20251022/1fa2cc6157336f31982789f3bd48cf9c.jpg,SHOP
ANNA,ANNA C4,anna-c4,RT1023 C4,42.00,"©rietieyewear | ANNA C4 offering unique aesthetics. Blue light blocking lenses protect eyes, with an elegant minimal design. Lightweight for comfort.",https://ecimg.cafe24img.com/pg1512b58569568085/ratigre2022/web/product/big/20251231/5f5e6dffafe52bebc02f46e5a4cb6997.jpg,SHOP
BELLO,BELLO C1,bello-c1,RT3040 C1,56.25,"©rietieyewear | BELLO C1: Designed with modern temples, this eyewear features blue light blocking lenses and lightweight B-TITANIUM frame for comfort.",https://ecimg.cafe24img.com/pg1512b58569568085/ratigre2022/web/product/big/20250319/f792a4f5a22a2f13b8e72069ea862e46.jpg,SHOP
BELLO,BELLO C2,bello-c2,RT3040 C2,56.25,"©rietieyewear | BELLO C2 Modern B-TITANIUM frame with blue light blocking lenses, ensuring comfortable wear.",https://ecimg.cafe24img.com/pg1512b58569568085/ratigre2022/web/product/big/20250319/0d713ce06139243af2e169f635c2a528.jpg,SHOP
ALETTA,ALETTA C3,aletta-c3,RT3036 C3,58.00,©rietieyewear | ALETTA C3 combines ultra-light comfort with blue light protection in a stylish design. Perfectly matches classic and clear tones for versatile styling.,https://ecimg.cafe24img.com/pg1512b58569568085/ratigre2022/web/product/big/20250304/c9a2109e27229f932455675ba093606c.jpg,SHOP
ULBERTO,ULBERTO C2,ulberto-c2,RT1022 C2,42.00,"©rietieyewear | ULBERTO C2 - With a simple, basic design, this eyewear blends fashion and art, featuring blue light blocking lenses and sustainable materials.",https://ecimg.cafe24img.com/pg1512b58569568085/ratigre2022/web/product/big/20250319/afda9805f5ffbd6c2cfd78228916ab03.jpg,SHOP
DIO,DIO C2,dio-c2,RT1011 C2,42.00,©rietieyewear | DIO C2 - Minimal square eyewear with blue light protection. Available in multiple colors for a stylish touch. Lightweight and trendy.,https://ecimg.cafe24img.com/pg1512b58569568085/ratigre2022/web/product/big/20250304/e72a3e945afb8595259e5b32c29b152d.jpg,SHOP
DIO,DIO C3,dio-c3,RT1011 C3,42.00,©rietieyewear | DIO C3 Fashionable eyewear with blue light blocking lenses and TR-90 frame. Lightweight and practical MD's pick.,https://ecimg.cafe24img.com/pg1512b58569568085/ratigre2022/web/product/big/20250304/9244bd86d24dc946405e6ca4215dcf13.jpg,SHOP
DIO,DIO C4,dio-c4,RT1011 C4,42.00,©rietieyewear | DIO C4 eyewear blocks harmful blue light with a fashionable square design in bold colors. Lightweight and stylish.,https://ecimg.cafe24img.com/pg1512b58569568085/ratigre2022/web/product/big/20250304/7331e039515864b60c109c41a8107df4.jpg,SHOP
RENATO,RENATO C1,renato-c1,RT1019 C1,42.00,"©rietieyewear | MD's pick: Bold retro glasses that suit various profiles, block harmful blue light, and offer a sophisticated design. Lightweight TR-90 frame, PC lenses for comfort.",https://ecimg.cafe24img.com/pg1512b58569568085/ratigre2022/web/product/big/20250304/7b5627a33effbae346335a51e115e9d5.jpg,SHOP
ENNIO,ENNIO C1,ennio-c1,RT1016 C1,42.00,"©rietieyewear | ENNIO C1: Complete your look with unique temple lines and brow details. Blue light blocking lenses offer a smart, retro touch.",https://ecimg.cafe24img.com/pg1512b58569568085/ratigre2022/web/product/big/20250304/11fe5d77c546956ed5ae18fbc70808e6.jpg,SHOP
FIORE,FIORE C2,fiore-c2,RT1015 C2,42.00,©rietieyewear | FIORE C2 - Lightweight minimal silhouette eyewear that blocks harmful blue light. Available in skin-tone colors for versatile styling. Features a clean design and lightweight comfort.,https://ecimg.cafe24img.com/pg1512b58569568085/ratigre2022/web/product/big/20250304/e066b808be9bab02bab46067962ae9db.jpg,SHOP
FIORE,FIORE C3,fiore-c3,RT1015 C3,42.00,©rietieyewear | MD's pick: FIORE C3. Minimal eyewear with blue light blocking and TR-90 frame. Offers rich color options for all skin tones.,https://ecimg.cafe24img.com/pg1512b58569568085/ratigre2022/web/product/big/20250304/e0c0f612f4233ca527b028d7bd9a1829.jpg,SHOP
PAPETTI,PAPETTI C2,papetti-c2,RT4047 C2,42.00,©rietieyewear | PAPETTI C2 sunglasses with a minimal vintage flair. Experience elegance with UV400 protection and metallic frame details.,https://ecimg.cafe24img.com/pg1512b58569568085/ratigre2022/web/product/big/20250311/3a141023b83bbcee6d861e6d1be8c0b1.jpg,SHOP
ANNA,ANNA C3,anna-c3,RT1023 C3,42.00,"©rietieyewear | ANNA C3 - Experience minimalist classic eyewear with blue light blocking lenses, offering a comfortable and stylish fit.",https://ecimg.cafe24img.com/pg1512b58569568085/ratigre2022/web/product/big/20250319/b8396daf695042c27a8fd8718a8ce9d5.jpg,SHOP
ANNA,ANNA C1,anna-c1,RT1023 C1,42.00,©rietieyewear | ANNA C1 - Minimal temple design with blue light blocking. Offers lightweight wear and unique aesthetics.,https://ecimg.cafe24img.com/pg1512b58569568085/ratigre2022/web/product/big/20250311/8c02ae817dd3f72beee6357299eccee4.jpg,SHOP
ROSSI,ROSSI C4,rossi-c4,RT4044 C4,42.00,"©rietieyewear | ROSSI C4: Trendy sunglasses with smooth curves and classic cat-eye design, perfect for daily looks. Offers 99.9% UV protection.",https://ecimg.cafe24img.com/pg1512b58569568085/ratigre2022/web/product/big/20250311/f1e42148daedd4f82370d0e49cd4a161.jpg,SHOP
ROSSI,ROSSI C2,rossi-c2,RT4044 C2,42.00,©rietieyewear | ROSSI C2 - A stylish everyday item with soft curves and classic cat-eye design. Offers 99.9% UV protection and luxurious material.,https://ecimg.cafe24img.com/pg1512b58569568085/ratigre2022/web/product/big/20250312/0ac45eb9ff01bc5c3fbe4742cffdbd4e.jpg,SHOP
DOLCE,DOLCE C3,dolce-c3,RT4043 C3,58.00,"©rietieyewear | DOLCE C3 – MD's pick: Unique design with Korea fit for comfort, blocks 99.9% UV rays.",https://ecimg.cafe24img.com/pg1512b58569568085/ratigre2022/web/product/big/20250312/32b60505d19b671e2c7159d06891c6d3.jpg,SHOP
DOLCE,DOLCE C1,dolce-c1,RT4043 C1,58.00,"©rietieyewear | DOLCE C1 glasses offer dynamic design and Korea fit for Korean faces. Blocks 99.9% UV with UV400 lenses, featuring signature colorway and end-tip design.",https://ecimg.cafe24img.com/pg1512b58569568085/ratigre2022/web/product/big/20250312/520cbcb47a3da42cab682cd1f28d7149.jpg,SHOP
ERICA,ERICA C4,erica-c4,RT1018 C4,42.00,©rietieyewear | The compact oval ERICA C4 effectively blocks harmful blue light. Its thin frame and unique color add chic appeal.,https://ecimg.cafe24img.com/pg1512b58569568085/ratigre2022/web/product/big/20250304/960a07c46d1dae58a91c86923a93f07a.jpg,SHOP
DIO,DIO C1,dio-c1,RT1011 C1,42.00,"©rietieyewear | DIO C1 Anel-style minimalist square design, features diverse colors and blue light blocking lenses for style and function.",https://ecimg.cafe24img.com/pg1512b58569568085/ratigre2022/web/product/big/20250304/d3544866550e349a1f6f6d1f4186d459.jpg,SHOP
CARTELLA,CARTELLA C2,cartella-c2,RT4038 C2,42.00,"©rietieyewear | CARTELLA C2 features a chic cherry tint and elegant frame. UV400 lenses offer 99.9% UV protection. Lightweight, stylish design.",https://ecimg.cafe24img.com/pg1512b58569568085/ratigre2022/web/product/big/20250304/d5870af0916e33dcd468245ede587dad.jpg,SHOP
CARTELLA,CARTELLA C1,cartella-c1,RT4038 C1,42.00,"©rietieyewear | CARTELLA C1 offers UV400 protection, showcasing a sleek gray tone that reveals distinct nuances according to angle. Pre-order for mid-May delivery.",https://ecimg.cafe24img.com/pg1512b58569568085/ratigre2022/web/product/big/20250304/8d87f291af737042d1f1e71f6b7cdd0c.jpg,SHOP
FREDO,FREDO C1,fredo-c1,RT4036 C1,42.00,©rietieyewear | FREDO C1 sunglasses with UV400 lenses offer a trendy color palette and a diamond shape design for stylish comfort.,https://ecimg.cafe24img.com/pg1512b58569568085/ratigre2022/web/product/big/20250304/c146189aede816303ee4491b738daa86.jpg,SHOP
CARINA,CARINA C2,carina-c2,RT4031 C2,42.00,©rietieyewear | CARINA C2 sunglasses offer a compact oval design with modern chic. Experience ultimate protection with UV400 and anti-reflection features. MD's recommended item for a stylish look.,https://ecimg.cafe24img.com/pg1512b58569568085/ratigre2022/web/product/big/20250305/f580ec335ef25e0467779f5f0176f1c2.jpg,SHOP
DORIS,DORIS C1,doris-c1,RT4007 C1,58.00,©rietieyewear | DORIS C1 - Featuring a reinterpretation of minimalist aesthetics with a tiny square frame. Offers 99.9% UV protection and lightweight comfort for modern genderless style.,https://ecimg.cafe24img.com/pg1512b58569568085/ratigre2022/web/product/big/20250305/422587eaea307c29d19a62dff1675330.jpg,SHOP
EVA,EVA C3,eva-c3,RT2015 C3,42.00,©rietieyewear | EVA C3 Sunglasses in soft beige and blue blend classic with modern. UV400 protection and lightweight comfort.,https://ecimg.cafe24img.com/pg1512b58569568085/ratigre2022/web/product/big/20250305/03c1a79c281e8a65adde36c04470eaa2.jpg,SHOP
ALDO,ALDO C1,aldo-c1,RT2013 C1,42.00,"©rietieyewear | ALDO C1 Sunglasses with flat-bar design - UV400 blocking, young classic square shape. A trendy choice that always stands out.",https://ecimg.cafe24img.com/pg1512b58569568085/ratigre2022/web/product/big/20250305/f404b2ecf513461ecf483c399167ae13.jpg,SHOP
OTELLO,OTELLO C2,otello-c2,RT2011 C2,42.00,"©rietieyewear | Discover the unique OTELLO C2 sunglasses with a retro narrow oval design in soft cream, offering UV400 protection.",https://ecimg.cafe24img.com/pg1512b58569568085/ratigre2022/web/product/big/20250305/d2bb4dc51630eff1c5d05f192cbcbaa5.jpg,SHOP
OTELLO,OTELLO C1,otello-c1,RT2011 C1,42.00,"©rietieyewear | MD's Pick: OTELLO C1 features UV400 & anti-reflective lenses, unique design for a trendy geek chic vibe.",https://ecimg.cafe24img.com/pg1512b58569568085/ratigre2022/web/product/big/20250305/06a93d47dd31f6e893fba29fffea9f2d.jpg,SHOP
ANITA,ANITA C1,anita-c1,RT1025 C1,42.00,"Official Store | Discover ANITA C1 glasses featuring unique, lightweight, corrosion-resistant frames and blue light blocking lenses.",https://ecimg.cafe24img.com/pg1512b58569568085/ratigre2022/web/product/big/20250819/25f377041a0d747e7d7a73be8f72f257.jpg,SHOP
CANDELA,CANDELA C1,candela-c1,RT4035 C1,42.00,©rietieyewear | Cat Eye Line CANDELA C1. Stylish design with durable acetate. Offers 99.9% UV protection (UV400) and comfort.,https://ecimg.cafe24img.com/pg1512b58569568085/ratigre2022/web/product/big/20250304/36f254ba6eee94008fe186a4bb7ca00e.jpg,SHOP
CANDELA,CANDELA C2,candela-c2,RT4035 C2,42.00,"©rietieyewear | Discover CANDELA C2 sunglasses offering a unique blend of round and square shapes, 99.9% UV protection, and a soft cream color touch.",https://ecimg.cafe24img.com/pg1512b58569568085/ratigre2022/web/product/big/20250304/33dd56afb7984296b68d4abb709872bd.jpg,SHOP
VITO,VITO C2,vito-c2,RT1020 C2,42.00,©rietieyewear | VITO C2 Retro aviation shape glasses. Blue light blocking for eye protection. Lightweight and stylish for a new daily look.,https://ecimg.cafe24img.com/pg1512b58569568085/ratigre2022/web/product/big/20250304/7b29f7959c6c44ab9df0dab738c4de23.jpg,SHOP
VITO,VITO C1,vito-c1,RT1020 C1,42.00,©rietieyewear | VITO C1: MD's pick with retro aviation shape. Offers harmful blue light blocking lenses. Ideal for a new daily look.,https://ecimg.cafe24img.com/pg1512b58569568085/ratigre2022/web/product/big/20250304/d1687e2b4df7e77e0e12d4f1dda44694.jpg,SHOP
ALDO,ALDO C2,aldo-c2,RT2013 C2,42.00,©rietieyewear | ALDO C2 - Emphasize a young classic style with a soft square shape and ink-tinted lenses. Offers optimal eye protection with 99.9% UV blocking and anti-glare.,https://ecimg.cafe24img.com/pg1512b58569568085/ratigre2022/web/product/big/20250305/e5a0b761cb3ffeadbdb4104348ac3d75.jpg,SHOP
MANO,MANO C1,mano-c1,RT2014 C1,42.00,©rietieyewear | MANO C1 sunglasses featuring matte black polarized lenses. Blocks 99.9% UV and glare. Ultra-light TR-90 frame for comfort fit.,https://ecimg.cafe24img.com/pg1512b58569568085/ratigre2022/web/product/big/20250305/005a6cd92db738a500f9e789874116be.jpg,SHOP
MANO,MANO C2,mano-c2,RT2014 C2,42.00,©rietieyewear | MANO C2: Oversized square frame with simple black polarized lenses. Provides UV400 protection. Made from lightweight TR-90 and TC materials.,https://ecimg.cafe24img.com/pg1512b58569568085/ratigre2022/web/product/big/20250305/fccb4e9592df97cb70f7fe98f7b20018.jpg,SHOP
MANO,MANO C3,mano-c3,RT2014 C3,42.00,©rietieyewear | MANO C3 features an overfit square frame with clear grey polarized lenses that offer 99.9% UV protection and anti-reflection for ultimate comfort. Made from lightweight TR-90.,https://ecimg.cafe24img.com/pg1512b58569568085/ratigre2022/web/product/big/20250305/77fa9e6ee112e08c688535ab0141f088.jpg,SHOP
EVA,EVA C1,eva-c1,RT2015 C1,42.00,©rietieyewear | EVA C1 sunglasses blend modern style and classic elegance. Featuring elegant cutting details and UV400 protection.,https://ecimg.cafe24img.com/pg1512b58569568085/ratigre2022/web/product/big/20250305/86bc3e4e58be809791c43443d054c64f.jpg,SHOP
EVA,EVA C2,eva-c2,RT2015 C2,42.00,©rietieyewear | Sensational EVA C2 eyewear blends classic and modern styles. Offers 99.9% UV blocking lenses and lightweight frames for comfort.,https://ecimg.cafe24img.com/pg1512b58569568085/ratigre2022/web/product/big/20250305/380347f5682191f8c7917eef9e7c7cc5.jpg,SHOP
AIDA,AIDA C1,aida-c1,RT2016 C1,42.00,©rietieyewear | AIDA C1 combines a demure mood with a flat-bar bridge for both comfort and style. UV400 protection and anti-reflective lenses guard your eyes effortlessly.,https://ecimg.cafe24img.com/pg1512b58569568085/ratigre2022/web/product/big/20250305/1f21dd4ed6eacb4db1bc9a810480bd6b.jpg,SHOP
AIDA,AIDA C2,aida-c2,RT2016 C2,42.00,"©rietieyewear | Demure mood AIDA C2 sunglasses with Asian fit design, offering 99.9% UV protection. Lightweight feel and a range of color options complete your style.",https://ecimg.cafe24img.com/pg1512b58569568085/ratigre2022/web/product/big/20250305/a1aa97d20d1c66fdde351c202e8fcdf7.jpg,SHOP
AIDA,AIDA C3,aida-c3,RT2016 C3,42.00,©rietieyewear | AIDA C3: Asian fit sunglasses with UV400 protection and anti-glare. Light TR-90 frame for comfort.,https://ecimg.cafe24img.com/pg1512b58569568085/ratigre2022/web/product/big/20250305/210e8aaf574b97ecdc39882ed6ab0463.jpg,SHOP
ZOE,ZOE C1,zoe-c1,RT4006 C1,58.00,©rietieyewear | ZOE C1 sunglasses - MD's pick for retro aviator style with UV400 protection and oversized fit for stability.,https://ecimg.cafe24img.com/pg1512b58569568085/ratigre2022/web/product/big/20250305/1d8390bbfaafabed7517cba8acf2d615.jpg,SHOP
ZOE,ZOE C4,zoe-c4,RT4006 C4,58.00,©rietieyewear | ZOE C4: Retro aviator sunglasses blocking 99.9% UV rays. Oversized fit and tinted lenses add aesthetic value. MD's recommended item.,https://ecimg.cafe24img.com/pg1512b58569568085/ratigre2022/web/product/big/20250305/bc1a753c970540c58cb50e108e1e759e.jpg,SHOP
ZOE,ZOE C6,zoe-c6,RT4006 C6,35.00,"©rietieyewear | MD's pick: ZOE C6 aviator sunglasses, block 99.9% UV for eye protection. Retro mood with tinted lenses enhances aesthetic value.",https://ecimg.cafe24img.com/pg1512b58569568085/ratigre2022/web/product/big/20250305/fae5e84ea36591c309ffe50f7eb761bd.jpg,SHOP
DORIS,DORIS C3,doris-c3,RT4007 C3,58.00,©rietieyewear | DORIS C3 - A reinterpreted tiny square frame in the art of simplicity. Offers style and protection with clear color and 99.9% UV blocking.,https://ecimg.cafe24img.com/pg1512b58569568085/ratigre2022/web/product/big/20250305/d3857a3b2e1e26f13b91e7b8b6155889.jpg,SHOP
CARINA,CARINA C1,carina-c1,RT4031 C1,42.00,©rietieyewear | Compact oval CARINA C1 sunglasses with UV400 protection. Experience style and comfort with lightweight TR-90 frame.,https://ecimg.cafe24img.com/pg1512b58569568085/ratigre2022/web/product/big/20250305/ba5452fd9c542872bb82331566d4da07.jpg,SHOP
CARINA,CARINA C3,carina-c3,RT4031 C3,42.00,©rietieyewear | CARINA C3 sunglasses - Compact oval design with 99.9% UV blocking. Achieve a chic look with color variations and enjoy the lightweight TR-90 frame.,https://ecimg.cafe24img.com/pg1512b58569568085/ratigre2022/web/product/big/20250305/0b930e1986c91bd210db3028c763e86d.jpg,SHOP
ILLUSO,ILLUSO C1,illuso-c1,RT4032 C1,58.00,©rietieyewear | Elevate your style with ILLUSO C1 oversized combo frame and chic black mood. UV400 lenses block 99.9% of UV rays.,https://ecimg.cafe24img.com/pg1512b58569568085/ratigre2022/web/product/big/20250305/e43218d4dc2e99cabebababc712fd73e.jpg,SHOP
ILLUSO,ILLUSO C2,illuso-c2,RT4032 C2,58.00,"©rietieyewear | ILLUSO C2 MD's pick: Oversized combo frame in chic champagne gold, UV protection 99.9%. Offers a stylish silhouette.",https://ecimg.cafe24img.com/pg1512b58569568085/ratigre2022/web/product/big/20250305/1778778d1b1058ed5bb14d6451c92095.jpg,SHOP
ALI,ALI C1,ali-c1,RT4033 C1,42.00,©rietieyewear | ALI C1 - Classic shape with just the right fit creates an urban vibe. Offers 99.9% UV protection and comfortable TR-90 material.,https://ecimg.cafe24img.com/pg1512b58569568085/ratigre2022/web/product/big/20250304/481e8decf2ffc5bf76d2d23e1d26d30c.jpg,SHOP
ALI,ALI C2,ali-c2,RT4033 C2,42.00,©rietieyewear | MD's pick: ALI C2 sunglasses with classic shape and endpiece detail. 99.9% UV protection and glare reduction for safe wear.,https://ecimg.cafe24img.com/pg1512b58569568085/ratigre2022/web/product/big/20250304/8e41d40efa98bf40a6cef3e74a3d8c26.jpg,SHOP
